 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]         F(nu)*D^2            
                                        [Jy * pc^2]              
   1.95819592       4.65360880E-02   107278.180    
   2.02251482       4.50561717E-02   110234.578    
   2.03046679       4.48797159E-02   112274.852    
   2.03076673       4.48730886E-02   112188.633    
   2.03106666       4.48664613E-02   113058.328    
   2.08894634       4.36233208E-02   114523.344    
   2.15755987       4.22360338E-02   118757.391    
   2.17525935       4.18923721E-02   120456.586    
   2.17555928       4.18865979E-02   286.927551    
   2.17585921       4.18808237E-02   120503.367    
   2.22842717       4.08928655E-02   123419.633    
   2.30162215       3.95924114E-02   127421.227    
   2.37722135       3.83333154E-02   131635.531    
   2.45530367       3.71142589E-02   135715.078    
   2.53595066       3.59339714E-02   139182.953    
   2.55965710       3.56011651E-02   140002.063    
   2.55995703       3.55969928E-02   1434.63782    
   2.56025696       3.55928242E-02   140951.719    
   2.58097148       3.53071615E-02   143450.578    
   2.58127141       3.53030562E-02   573.855103    
   2.58157134       3.52989547E-02   143261.500    
   2.61924648       3.47912163E-02   143904.938    
   2.70527840       3.36848050E-02   148112.766    
   2.79413605       3.26135792E-02   152382.750    
   2.88591242       3.15764174E-02   155602.906    
   2.98070335       3.05722393E-02   157938.531    
   2.99403405       3.04361191E-02   153216.188    
   2.99433398       3.04330699E-02   0.00000000    
   2.99463391       3.04300208E-02   845658.313    
   3.01020336       3.02726310E-02   142917.141    
   3.01050329       3.02696154E-02   155228.078    
   3.01080322       3.02665997E-02   159954.750    
   3.07860780       2.95999944E-02   163152.359    
   3.17972803       2.86586694E-02   166242.172    
   3.28416944       2.77472809E-02   169829.781    
   3.39204121       2.68648788E-02   172706.516    
   3.47691989       2.62090527E-02   174585.531    
   3.47721982       2.62067914E-02   0.00000000    
   3.47751975       2.62045320E-02   176371.609    
   3.48720956       2.61317175E-02   172133.328    
   3.48750949       2.61294693E-02   165557.547    
   3.48780942       2.61272229E-02   173402.922    
   3.50345635       2.60105357E-02   175926.781    
   3.51954889       2.58916058E-02   175421.656    
   3.51984882       2.58894004E-02   177608.594    
   3.52014875       2.58871950E-02   176715.297    
   3.61853099       2.51833610E-02   176721.078    
   3.73738527       2.43824944E-02   174134.250    
   3.86014366       2.36070938E-02   143862.219    
   3.98693395       2.28563547E-02   83550.0313    
   3.99970007       2.27834024E-02   72725.3047    
   4.00000000       2.27816943E-02   30127.4023    
   4.00029993       2.27799863E-02   94306.8281    
   4.03771400       2.25689020E-02   83668.5234    
   4.03801394       2.25672256E-02   22954.2188    
   4.03831387       2.25655511E-02   82354.9531    
   4.11788893       2.21294891E-02   68340.3359    
   4.25314522       2.14257371E-02   58902.3711    
   4.39284420       2.07443684E-02   55584.0859    
   4.39565277       2.07311139E-02   387.587708    
   4.39595270       2.07296982E-02   53081.6484    
   4.39625263       2.07282845E-02   53922.9570    
   4.53713179       2.00846661E-02   51690.9414    
   4.66392231       1.95386559E-02   49770.5000    
   4.66422224       1.95374005E-02   286.927551    
   4.66452217       1.95361432E-02   49265.8633    
   4.68615818       1.94459446E-02   48911.3945    
   4.73962593       1.92265753E-02   48047.8516    
   4.73992586       1.92253590E-02   0.00000000    
   4.74022579       1.92241427E-02   48589.0898    
   4.84007978       1.88275352E-02   46467.9219    
   4.99905729       1.82287917E-02   44546.5664    
   5.16325665       1.76490881E-02   42471.6641    
   5.33284903       1.70878228E-02   40760.2969    
   5.34157991       1.70598924E-02   39165.5977    
   5.34187984       1.70589332E-02   0.00000000    
   5.34217978       1.70579758E-02   40087.9453    
   5.50801182       1.65444035E-02   39143.1328    
   5.51356649       1.65277366E-02   39658.7930    
   5.51386642       1.65268369E-02   0.00000000    
   5.51416636       1.65259391E-02   37708.7109    
   5.68892813       1.60182677E-02   37603.3789    
   5.68922853       1.60174221E-02   0.00000000    
   5.68952847       1.60165783E-02   0.00000000    
   5.68982840       1.60157327E-02   125.636909    
   5.69363832       1.60050169E-02   37104.9180    
   5.69393826       1.60041731E-02   286.927551    
   5.69423819       1.60033312E-02   36463.1836    
   5.87578678       1.55088631E-02   35341.7500    
   6.06878328       1.50156580E-02   33894.2148    
   6.26811838       1.45381391E-02   32705.4355    
   6.47125387       1.40817799E-02   31882.3418    
   6.47155380       1.40811279E-02   0.00000000    
   6.47185373       1.40804751E-02   29956.5176    
   6.47400141       1.40758036E-02   31195.2891    
   6.68664646       1.36281727E-02   30378.7422    
   6.68880939       1.36237657E-02   0.00000000    
   6.68910933       1.36231557E-02   0.00000000    
   6.68940926       1.36225447E-02   29633.3359    
   6.90627623       1.31947771E-02   28870.1523    
   7.13312006       1.27751632E-02   28206.1777    
   7.13788605       1.27666332E-02   27078.5078    
   7.13818598       1.27660967E-02   0.00000000    
   7.13848591       1.27655603E-02   27387.9648    
   7.19447994       1.26662077E-02   28026.9453    
   7.19477987       1.26656797E-02   0.00000000    
   7.19507980       1.26651516E-02   27311.3262    
   7.36741447       1.23688951E-02   26766.7930    
   7.60940504       1.19755454E-02   25623.3750    
   7.85934353       1.15947053E-02   24460.6621    
   8.11749172       1.12259770E-02   23516.6641    
   8.37119293       1.08857574E-02   22681.5957    
   8.37149334       1.08853662E-02   0.00000000    
   8.37179375       1.08849760E-02   21184.5781    
   8.38411903       1.08689740E-02   22192.2324    
   8.65950394       1.05233248E-02   21343.2363    
   8.94393444       1.01886671E-02   20216.6699    
   9.23770714       9.86465253E-03   19191.8008    
   9.27522564       9.82475001E-03   19127.7578    
   9.27552605       9.82443150E-03   0.00000000    
   9.27582645       9.82411392E-03   18428.3438    
   9.54112911       9.55094211E-03   17933.0215    
   9.85451698       9.24720895E-03   16816.1719    
   10.1498594       8.97813123E-03   16117.9570    
   10.1501598       8.97786580E-03   0.00000000    
   10.1504602       8.97760037E-03   15899.0000    
   10.1781979       8.95313453E-03   15555.4355    
   10.5125113       8.66841152E-03   14676.8389    
   10.8578053       8.39274377E-03   13452.2373    
   11.2144413       8.12584162E-03   12460.2578    
   11.5827904       7.86742847E-03   11489.4873    
   11.6051311       7.85228331E-03   0.00000000    
   11.6054316       7.85207935E-03   0.00000000    
   11.6057320       7.85187632E-03   11070.0488    
   11.9632397       7.61723239E-03   10302.4229    
   12.3561840       7.37499353E-03   9346.34082    
   12.7620354       7.14045763E-03   8309.73926    
   13.1812181       6.91338023E-03   7494.09814    
   13.6141682       6.69352477E-03   6676.15674    
   14.0613394       6.48066122E-03   5796.01416    
   14.5231991       6.27456605E-03   9654.99609    
   15.0002279       6.07502600E-03   0.00000000    
  
 Total energy radiated out of the nebula [e36 erg/s]:   2.55697346    
 dTheta:   0.314159274    
 dPhi:   0.314159274    
  
